Protein,distance,angle,MTFE,Omega2/Omega1,Frame
r2,0.2,1,0.5,0.2755,28000
r2,0.2,1,1.0,0.277172619047619,28000
r2,0.2,1,2.0,0.2771904761904762,28000
r2,0.2,1,3.0,0.2790238095238095,28000
r2,0.5,1,-3.0,0.4051964285714285,28000
r2,0.5,1,-2.0,0.3866369047619047,28000
r2,0.5,1,-1.0,0.3738511904761905,28000
r2,0.5,1,-0.5,0.3669047619047619,28000
r2,0.5,1,0.0,0.3607083333333333,28000
r2,0.5,1,0.5,0.3650892857142857,28000
r2,0.5,1,1.0,0.3669464285714285,28000
r2,0.5,1,2.0,0.3676011904761905,28000
r2,0.5,1,3.0,0.3706964285714286,28000
0.5fl,0.0,60,0.0,0.5612916666666666,28000
0.5fl,0.0,30,0.0,0.4022440476190476,28000
0.5fl,0.0,1,0.0,0.1688630952380952,28000
0.5fl,0.2,30,0.0,0.522547619047619,28000
0.5fl,0.2,1,0.0,0.2885119047619047,28000
0.5fl,0.5,1,0.0,0.4798869047619047,28000
