Protein,distance,angle,MTFE,Omega2/Omega1,Frame
GS8,0.2,30,2.0,0.4800714285714286,28000
GS8,0.2,30,3.0,0.4780952380952381,28000
GS8,0.2,1,-3.0,0.3199285714285714,28000
GS8,0.2,1,-2.0,0.3181785714285714,28000
GS8,0.2,1,-1.0,0.3189642857142857,28000
GS8,0.2,1,0.0,0.3241607142857143,28000
GS8,0.2,1,1.0,0.3245535714285714,28000
GS8,0.2,1,2.0,0.3269821428571428,28000
GS8,0.2,1,3.0,0.3284107142857143,28000
GS8,0.5,1,-3.0,0.4709702380952381,28000
GS8,0.5,1,-2.0,0.4692559523809523,28000
GS8,0.5,1,-1.0,0.4691190476190476,28000
GS8,0.5,1,0.0,0.4687678571428571,28000
GS8,0.5,1,1.0,0.46825,28000
GS8,0.5,1,2.0,0.4689821428571428,28000
GS8,0.5,1,3.0,0.4671428571428571,28000
GS40,0.0,60,-3.0,0.2061734307035396,25059
GS40,0.0,60,-2.0,0.1456813440481921,27003
GS40,0.0,60,-1.0,0.2130408939610081,28040
GS40,0.0,60,-0.5,0.2060334677275484,28027
GS40,0.0,60,0.0,0.2281502615311459,28040
GS40,0.0,60,0.5,0.2219210651450309,28040
GS40,0.0,60,1.0,0.2196445553970518,28040
GS40,0.0,60,2.0,0.2286376604850214,28040
GS40,0.0,60,3.0,0.2294222539229672,28040
GS40,0.0,30,-3.0,0.1585391808664884,25059
GS40,0.0,30,-2.0,0.1027169820637213,27003
GS40,0.0,30,-1.0,0.1598430813124108,28040
GS40,0.0,30,-0.5,0.1562897681997122,28027
GS40,0.0,30,0.0,0.1705064194008559,28040
GS40,0.0,30,0.5,0.1676414645744175,28040
GS40,0.0,30,1.0,0.1660425582501188,28040
GS40,0.0,30,2.0,0.1718735140275796,28040
GS40,0.0,30,3.0,0.1722955301949595,28040
GS40,0.0,1,-3.0,0.0827713263365124,25059
GS40,0.0,1,-2.0,0.0531484156081423,27003
GS40,0.0,1,-1.0,0.0893544935805991,28040
GS40,0.0,1,-0.5,0.0889439944815118,28027
GS40,0.0,1,0.0,0.0950011887779362,28040
GS40,0.0,1,0.5,0.0922491678554446,28040
GS40,0.0,1,1.0,0.0930753685211602,28040
GS40,0.0,1,2.0,0.0961780789348549,28040
GS40,0.0,1,3.0,0.0960294816928197,28040
GS40,0.2,30,-3.0,0.2288000319246578,25059
GS40,0.2,30,-2.0,0.156087595205471,27003
GS40,0.2,30,-1.0,0.2158939610080837,28040
GS40,0.2,30,-0.5,0.2143468797944838,28027
GS40,0.2,30,0.0,0.2243402282453637,28040
GS40,0.2,30,0.5,0.2182952924393723,28040
GS40,0.2,30,1.0,0.2184022824536376,28040
GS40,0.2,30,2.0,0.2226462196861626,28040
GS40,0.2,30,3.0,0.2227175463623395,28040
GS40,0.2,1,-3.0,0.1549742607446426,25059
GS40,0.2,1,-2.0,0.0970015677270426,27003
GS40,0.2,1,-1.0,0.1439075130765573,28040
GS40,0.2,1,-0.5,0.1470605725431429,28027
GS40,0.2,1,0.0,0.1504279600570613,28040
GS40,0.2,1,0.5,0.1467249167855444,28040
GS40,0.2,1,1.0,0.1470221112696148,28040
GS40,0.2,1,2.0,0.1499167855444603,28040
GS40,0.2,1,3.0,0.1500356633380884,28040
GS40,0.5,1,-3.0,0.256341700254067,25059
GS40,0.5,1,-2.0,0.1772148773593057,27003
GS40,0.5,1,-1.0,0.2299334284355682,28040
GS40,0.5,1,-0.5,0.2290232038153685,28027
GS40,0.5,1,0.0,0.2246195910603899,28040
GS40,0.5,1,0.5,0.2192463147883975,28040
GS40,0.5,1,1.0,0.2193651925820256,28040
GS40,0.5,1,2.0,0.22174869234427,28040
GS40,0.5,1,3.0,0.2200784593437945,28040
GS64,0.0,60,-3.0,0.1010892857142857,28000
GS64,0.0,60,-2.0,0.1129940476190476,28000
GS64,0.0,60,-1.0,0.1465714285714285,28000
GS64,0.0,60,0.0,0.1645119047619047,28000
GS64,0.0,60,1.0,0.1778154761904762,28000
GS64,0.0,60,2.0,0.1856904761904761,28000
GS64,0.0,60,3.0,0.1755178571428571,28000
GS64,0.0,30,-3.0,0.0723809523809523,28000
GS64,0.0,30,-2.0,0.0778928571428571,28000
GS64,0.0,30,-1.0,0.1125,28000
GS64,0.0,30,0.0,0.1215892857142857,28000
GS64,0.0,30,1.0,0.1341785714285714,28000
GS64,0.0,30,2.0,0.1381071428571428,28000
GS64,0.0,30,3.0,0.1321904761904762,28000
GS64,0.0,1,-3.0,0.03725,28000
GS64,0.0,1,-2.0,0.0362023809523809,28000
GS64,0.0,1,-1.0,0.0610357142857142,28000
GS64,0.0,1,0.0,0.066547619047619,28000
GS64,0.0,1,1.0,0.0743154761904762,28000
GS64,0.0,1,2.0,0.0769107142857142,28000
GS64,0.0,1,3.0,0.0747321428571428,28000
GS64,0.2,30,-3.0,0.1194821428571428,28000
GS64,0.2,30,-2.0,0.1269464285714285,28000
GS64,0.2,30,-1.0,0.1538690476190476,28000
GS64,0.2,30,0.0,0.1627380952380952,28000
GS64,0.2,30,1.0,0.1768630952380952,28000
GS64,0.2,30,2.0,0.1793690476190476,28000
GS64,0.2,30,3.0,0.1726011904761904,28000
GS64,0.2,1,-3.0,0.0709940476190476,28000
GS64,0.2,1,-2.0,0.0674821428571428,28000
GS64,0.2,1,-1.0,0.1035357142857142,28000
GS64,0.2,1,0.0,0.1073035714285714,28000
GS64,0.2,1,1.0,0.1189523809523809,28000
GS64,0.2,1,2.0,0.1217261904761904,28000
GS64,0.2,1,3.0,0.1168333333333333,28000
GS64,0.5,1,-3.0,0.1360119047619047,28000
GS64,0.5,1,-2.0,0.1235178571428571,28000
GS64,0.5,1,-1.0,0.168922619047619,28000
GS64,0.5,1,0.0,0.167047619047619,28000
GS64,0.5,1,1.0,0.1778333333333333,28000
GS64,0.5,1,2.0,0.1792023809523809,28000
GS64,0.5,1,3.0,0.1724940476190476,28000
GS24,0.0,60,-3.0,0.2578154761904762,28000
GS24,0.0,60,-2.0,0.2526607142857143,28000
GS24,0.0,60,-1.0,0.2720416666666667,28000
GS24,0.0,60,0.0,0.2837321428571429,28000
GS24,0.0,60,1.0,0.2884583333333333,28000
GS24,0.0,60,2.0,0.29275,28000
GS24,0.0,60,3.0,0.2964285714285714,28000
GS24,0.0,30,-3.0,0.1779583333333333,28000
GS24,0.0,30,-2.0,0.1965595238095238,28000
GS24,0.0,30,-1.0,0.2050357142857143,28000
GS24,0.0,30,0.0,0.2136071428571428,28000
GS24,0.0,30,1.0,0.2157619047619047,28000
GS24,0.0,30,2.0,0.2201309523809523,28000
GS24,0.0,30,3.0,0.2234880952380952,28000
GS24,0.0,1,-3.0,0.0912916666666666,28000
GS24,0.0,1,-2.0,0.1102083333333333,28000
GS24,0.0,1,-1.0,0.115875,28000
GS24,0.0,1,0.0,0.1195059523809523,28000
GS24,0.0,1,1.0,0.119297619047619,28000
GS24,0.0,1,2.0,0.1236428571428571,28000
GS24,0.0,1,3.0,0.1255833333333333,28000
GS24,0.2,30,-3.0,0.2706428571428571,28000
GS24,0.2,30,-2.0,0.2710178571428571,28000
GS24,0.2,30,-1.0,0.278702380952381,28000
GS24,0.2,30,0.0,0.2795357142857143,28000
GS24,0.2,30,1.0,0.2819761904761905,28000
GS24,0.2,30,2.0,0.2841428571428571,28000
GS24,0.2,30,3.0,0.2874166666666666,28000
GS24,0.2,1,-3.0,0.1634821428571428,28000
GS24,0.2,1,-2.0,0.1833154761904762,28000
GS24,0.2,1,-1.0,0.1888809523809523,28000
GS24,0.2,1,0.0,0.1877380952380952,28000
GS24,0.2,1,1.0,0.1882202380952381,28000
GS24,0.2,1,2.0,0.1919880952380952,28000
GS24,0.2,1,3.0,0.1933273809523809,28000
GS24,0.5,1,-3.0,0.2782142857142857,28000
GS24,0.5,1,-2.0,0.2909702380952381,28000
GS24,0.5,1,-1.0,0.2911904761904761,28000
GS24,0.5,1,0.0,0.2801845238095238,28000
GS24,0.5,1,1.0,0.2793452380952381,28000
GS24,0.5,1,2.0,0.280672619047619,28000
GS24,0.5,1,3.0,0.2820773809523809,28000
