Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
puma_scramble_3,ee,3.0,4.51618245150007,0.0391544752584566,16800.0,,,,,,,,
puma_scramble_95,ee,-3.0,1.6464140882128966,0.1881392846085597,16816.0,,,,,,,,
puma_scramble_95,ee,-2.0,2.0549392164890423,0.2585722389354854,16829.0,,,,,,,,
puma_scramble_95,ee,-1.0,2.820114189461299,0.0863054320457347,33648.0,,,,,,,,
puma_scramble_95,ee,0.0,3.545218019221461,0.0625314469324781,33648.0,,,,,,,,
puma_scramble_95,ee,1.0,4.0031230868811525,0.0365629555481135,33648.0,,,,,,,,
puma_scramble_95,ee,2.0,4.320638814367995,0.0072301029455941,16824.0,,,,,,,,
puma_scramble_95,ee,3.0,4.528952052153353,0.0465363057136717,16824.0,,,,,,,,
puma_scramble_54,ee,-3.0,0.9583762321731796,0.2930832451482725,16603.0,,,,,,,,
puma_scramble_54,ee,-2.0,0.971839820977306,0.2622673847768649,16825.0,,,,,,,,
puma_scramble_54,ee,-1.0,1.4791192927491612,0.3167153226841612,16825.0,,,,,,,,
puma_scramble_54,ee,0.0,2.728008290282457,0.2975912995799825,16824.0,,,,,,,,
puma_scramble_54,ee,1.0,3.539731732593992,0.0573158120276587,16824.0,,,,,,,,
puma_scramble_54,ee,2.0,3.9329555504594422,0.0403233983534366,16824.0,,,,,,,,
puma_scramble_54,ee,3.0,4.16270032435606,0.0104976770909212,16824.0,,,,,,,,
puma_scramble_56,ee,-3.0,1.3591957278810924,0.1429200049432196,16826.0,,,,,,,,
puma_scramble_56,ee,-2.0,1.165120837040357,0.1151248255494811,16836.0,,,,,,,,
puma_scramble_56,ee,-1.0,2.6166853885628245,0.2577138741686938,16824.0,,,,,,,,
puma_scramble_56,ee,0.0,3.5132755528687296,0.0495317084402676,16824.0,,,,,,,,
puma_scramble_56,ee,1.0,4.034985757430664,0.0170713093658243,16824.0,,,,,,,,
puma_scramble_56,ee,2.0,4.277223906936359,0.0273705723819529,16824.0,,,,,,,,
puma_scramble_56,ee,3.0,4.465346629027661,0.0086208694271293,16824.0,,,,,,,,
puma_scramble_46,ee,-3.0,2.3722507648861835,0.0597861645901977,16800.0,,,,,,,,
puma_scramble_46,ee,-2.0,2.610157170921919,0.3404211122018649,16800.0,,,,,,,,
puma_scramble_46,ee,-1.0,2.99176440484467,0.0957178228253674,16800.0,,,,,,,,
puma_scramble_46,ee,0.0,3.364675914847425,0.0284291555801923,16800.0,,,,,,,,
puma_scramble_46,ee,1.0,3.585512536632873,0.1221638431921417,16800.0,,,,,,,,
puma_scramble_46,ee,2.0,4.019187096893078,0.054686846318772,16800.0,,,,,,,,
puma_scramble_46,ee,3.0,4.35300703981093,0.0377132686852094,16800.0,,,,,,,,
puma_scramble_36,ee,-3.0,1.307373556999158,0.2239524073736398,16814.0,,,,,,,,
puma_scramble_36,ee,-2.0,1.3940724984692603,0.2082868465779782,16825.0,,,,,,,,
puma_scramble_36,ee,-1.0,1.4089639852758922,0.3075881739307038,16831.0,,,,,,,,
puma_scramble_36,ee,0.0,2.096720906623732,0.2696143564613659,16824.0,,,,,,,,
puma_scramble_36,ee,1.0,3.0234863190153103,0.0487154286085034,16824.0,,,,,,,,
puma_scramble_36,ee,2.0,3.4613599619831263,0.0488539637618444,16824.0,,,,,,,,
puma_scramble_36,ee,3.0,3.6614946001415247,0.0223320043457284,16824.0,,,,,,,,
puma_scramble_14,ee,-3.0,1.420454089171475,0.0950885811620398,16800.0,,,,,,,,
puma_scramble_14,ee,-2.0,1.324502062270684,0.3092449039835477,16800.0,,,,,,,,
puma_scramble_14,ee,-1.0,2.711863289131295,0.6923875895033889,16800.0,,,,,,,,
puma_scramble_14,ee,0.0,3.4108437003904863,0.0486017488817654,16800.0,,,,,,,,
puma_scramble_14,ee,1.0,3.753282978516959,0.0773715383462413,16800.0,,,,,,,,
puma_scramble_14,ee,2.0,4.005376690141857,0.0427924868040894,16800.0,,,,,,,,
puma_scramble_14,ee,3.0,4.14395341871395,0.02091563380548,16800.0,,,,,,,,
puma_scramble_100,ee,-3.0,1.920854948459727,0.4537008903851905,16821.0,,,,,,,,
puma_scramble_100,ee,-2.0,2.059515413866983,0.0721651761741122,16831.0,,,,,,,,
puma_scramble_100,ee,-1.0,2.4950931447934974,0.0567110436878797,33648.0,,,,,,,,
puma_scramble_100,ee,0.0,3.085889994727888,0.0182012295977655,33648.0,,,,,,,,
puma_scramble_100,ee,1.0,3.5971958494319614,0.0186292139013047,33648.0,,,,,,,,
puma_scramble_100,ee,2.0,3.969542318771722,0.012619843905471,16824.0,,,,,,,,
puma_scramble_100,ee,3.0,4.180614416953841,0.0281992069095547,16824.0,,,,,,,,
puma_scramble_6,ee,-3.0,0.9476282321147266,0.0666097229349204,16800.0,,,,,,,,
puma_scramble_6,ee,-2.0,1.0983180284092111,0.2414843489508797,16800.0,,,,,,,,
puma_scramble_6,ee,-1.0,2.198202350467798,0.1751194121011291,16800.0,,,,,,,,
puma_scramble_6,ee,0.0,3.589102337259267,0.3232584889129187,16800.0,,,,,,,,
puma_scramble_6,ee,1.0,4.390314758419991,0.1172523136716291,16800.0,,,,,,,,
puma_scramble_6,ee,2.0,4.718559058947222,0.0220652036563296,16800.0,,,,,,,,
puma_scramble_6,ee,3.0,4.8907001176600655,0.0068426585524415,16800.0,,,,,,,,
