Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
GS24,helix,-3.0,0.0287589285714285,0.0155249909807521,28000.0,,,,,,,,
GS24,helix,-2.0,0.0338742559523809,0.0091102526306545,28000.0,,,,,,,,
GS24,helix,-1.0,0.0292447916666666,0.0081348699257245,28000.0,,,,,,,,
GS24,helix,0.0,0.0262261904761904,0.0015416304872857,28000.0,,,,,,,,
GS24,helix,1.0,0.0230677083333333,0.0013269354500095,28000.0,,,,,,,,
GS24,helix,2.0,0.0222477678571428,0.0013362502803974,28000.0,,,,,,,,
GS24,helix,3.0,0.0200758928571428,0.0010505559798917,28000.0,,,,,,,,
GS32,beta,-3.0,0.08618359375,0.0202298634839238,28000.0,,,,,,,,
GS32,beta,-2.0,0.0885703125,0.0301306714173669,28000.0,,,,,,,,
GS32,beta,-1.0,0.0829430803571428,0.0361899701216935,28000.0,,,,,,,,
GS32,beta,0.0,0.0331071428571428,0.0052433352414632,28000.0,,,,,,,,
GS32,beta,1.0,0.0417645089285714,0.0201523973584741,28000.0,,,,,,,,
GS32,beta,2.0,0.0235145089285714,0.0021422290789846,28000.0,,,,,,,,
GS32,beta,3.0,0.0209084821428571,0.0017106236443766,28000.0,,,,,,,,
GS48,beta,-3.0,0.0801487103775489,0.0119422829961425,26416.0,,,,,,,,
GS48,beta,-2.0,0.1056605351170568,0.0322537805630625,22425.0,,,,,,,,
GS48,beta,-1.0,0.0507157937400941,0.018325670472805,27551.0,,,,,,,,
GS48,beta,0.0,0.0435988292624948,0.008823360066817,28045.0,,,,,,,,
GS48,beta,1.0,0.0363181196885957,0.0097294486983842,28045.0,,,,,,,,
GS48,beta,2.0,0.0240335472752124,0.0009201537636052,28045.0,,,,,,,,
GS48,beta,3.0,0.0223197836809888,0.0015587020683637,28045.0,,,,,,,,
GS16,beta,-3.0,0.0483560267857142,0.0061996670360447,28000.0,,,,,,,,
GS16,beta,-2.0,0.0422834821428571,0.0084646636529005,28000.0,,,,,,,,
GS16,beta,-1.0,0.0347879464285714,0.0028921247359133,28000.0,,,,,,,,
GS16,beta,0.0,0.0270591517857142,0.0011289850011812,28000.0,,,,,,,,
GS16,beta,1.0,0.0253203125,0.0007352700255844,28000.0,,,,,,,,
GS16,beta,2.0,0.0202444196428571,0.0016141051604987,28000.0,,,,,,,,
GS16,beta,3.0,0.0183571428571428,0.0010341562663712,28000.0,,,,,,,,
GS8,beta,-3.0,0.0236339285714285,0.0005431381989483,28000.0,,,,,,,,
GS8,beta,-2.0,0.0224821428571428,0.0004370242721464,28000.0,,,,,,,,
GS8,beta,-1.0,0.0207477678571428,0.0010421979937436,28000.0,,,,,,,,
GS8,beta,0.0,0.01846875,0.0005828949492345,28000.0,,,,,,,,
GS8,beta,1.0,0.0175803571428571,0.0008346468376448,28000.0,,,,,,,,
GS8,beta,2.0,0.0155959821428571,0.0004159219535304,28000.0,,,,,,,,
GS8,beta,3.0,0.0140066964285714,0.0003159684747074,28000.0,,,,,,,,
GS40,beta,-3.0,0.0817505686579672,0.0134397152983388,25059.0,,,,,,,,
GS40,beta,-2.0,0.0905885457171425,0.0213125795098507,27003.0,,,,,,,,
GS40,beta,-1.0,0.0497267296718972,0.0098547895808837,28040.0,,,,,,,,
GS40,beta,0.0,0.0399549750356633,0.0068082224377494,28040.0,,,,,,,,
GS40,beta,1.0,0.0332533880171184,0.0046205101144653,28040.0,,,,,,,,
GS40,beta,2.0,0.0242925285306704,0.0024250857861331,28040.0,,,,,,,,
GS40,beta,3.0,0.0213048323823109,0.0011658086508352,28040.0,,,,,,,,
GS64,beta,-3.0,0.082884765625,0.0080879924080755,28000.0,,,,,,,,
GS64,beta,-2.0,0.0951495535714285,0.0227612157458193,28000.0,,,,,,,,
GS64,beta,-1.0,0.0874665178571428,0.0183456591224846,28000.0,,,,,,,,
GS64,beta,0.0,0.0525708705357142,0.0139049710650243,28000.0,,,,,,,,
GS64,beta,1.0,0.0379592633928571,0.014759245029334,28000.0,,,,,,,,
GS64,beta,2.0,0.0303889508928571,0.0084068933704804,28000.0,,,,,,,,
GS64,beta,3.0,0.0216213727678571,0.0012328877695008,28000.0,,,,,,,,
GS24,beta,-3.0,0.0900133928571428,0.0250644136837264,28000.0,,,,,,,,
GS24,beta,-2.0,0.0575528273809523,0.0151890379194482,28000.0,,,,,,,,
GS24,beta,-1.0,0.05690625,0.0283498475305979,28000.0,,,,,,,,
GS24,beta,0.0,0.033938244047619,0.0034348080139617,28000.0,,,,,,,,
GS24,beta,1.0,0.0292872023809523,0.0023591202830998,28000.0,,,,,,,,
GS24,beta,2.0,0.0204449404761904,0.0011259686410445,28000.0,,,,,,,,
GS24,beta,3.0,0.0196436011904761,0.0010834180318718,28000.0,,,,,,,,
GS32,sphericity,-3.0,0.1548241594049698,0.0648698829773718,28000.0,,,,,,,,
GS32,sphericity,-2.0,0.1993938768848195,0.0586159479479471,28000.0,,,,,,,,
GS32,sphericity,-1.0,0.2598443075245824,0.0833482377889994,28000.0,,,,,,,,
GS32,sphericity,0.0,0.3902367777239765,0.0155270102182867,28000.0,,,,,,,,
GS32,sphericity,1.0,0.3644787112925921,0.0717765979665147,28000.0,,,,,,,,
GS32,sphericity,2.0,0.4159750002634457,0.0038546213710911,28000.0,,,,,,,,
GS32,sphericity,3.0,0.4176979150271587,0.0017404487861981,28000.0,,,,,,,,
GS48,sphericity,-3.0,0.1294054038962079,0.0529949662037653,26416.0,,,,,,,,
GS48,sphericity,-2.0,0.1863859589526392,0.0882489558622702,22425.0,,,,,,,,
GS48,sphericity,-1.0,0.3379805267263579,0.0864881877754605,27551.0,,,,,,,,
GS48,sphericity,0.0,0.3676357598879847,0.0369020146278431,28045.0,,,,,,,,
GS48,sphericity,1.0,0.4020961701721002,0.006067623039054,28045.0,,,,,,,,
GS48,sphericity,2.0,0.4072532478652012,0.0059800059320219,28045.0,,,,,,,,
GS48,sphericity,3.0,0.4107663083393469,0.0035488400496878,28045.0,,,,,,,,
GS16,sphericity,-3.0,0.3257490544981914,0.0176588555416388,28000.0,,,,,,,,
GS16,sphericity,-2.0,0.3507887916482474,0.0201780451300838,28000.0,,,,,,,,
GS16,sphericity,-1.0,0.3770768251980156,0.0086402802247738,28000.0,,,,,,,,
GS16,sphericity,0.0,0.4004280344479298,0.0048611545628944,28000.0,,,,,,,,
GS16,sphericity,1.0,0.4044658230800032,0.0034392101795859,28000.0,,,,,,,,
GS16,sphericity,2.0,0.4203540690940035,0.0024082842578158,28000.0,,,,,,,,
GS16,sphericity,3.0,0.4260545479880099,0.0012683224087281,28000.0,,,,,,,,
GS8,sphericity,-3.0,0.3747874199928323,0.0028350871875955,28000.0,,,,,,,,
GS8,sphericity,-2.0,0.3817550094867454,0.0021587565941118,28000.0,,,,,,,,
GS8,sphericity,-1.0,0.3864820062788953,0.0017022601324041,28000.0,,,,,,,,
GS8,sphericity,0.0,0.399214652476443,0.0016455316868806,28000.0,,,,,,,,
GS8,sphericity,1.0,0.4044352703649751,0.0026178571692403,28000.0,,,,,,,,
GS8,sphericity,2.0,0.4140795344072059,0.0027160385704746,28000.0,,,,,,,,
GS8,sphericity,3.0,0.4155915733043877,0.0026190970717228,28000.0,,,,,,,,
GS40,sphericity,-3.0,0.1626846054108724,0.0842044137347934,25059.0,,,,,,,,
GS40,sphericity,-2.0,0.2352446717118827,0.0285896109580618,27003.0,,,,,,,,
GS40,sphericity,-1.0,0.3184192188955299,0.054409878751396,28040.0,,,,,,,,
GS40,sphericity,0.0,0.3914442160574323,0.0171350017113497,28040.0,,,,,,,,
GS40,sphericity,1.0,0.3980761571184307,0.0107701674400414,28040.0,,,,,,,,
GS40,sphericity,2.0,0.4090198419497799,0.0092831274593401,28040.0,,,,,,,,
GS40,sphericity,3.0,0.4133108906180142,0.0033698627779462,28040.0,,,,,,,,
GS64,sphericity,-3.0,0.1750267935412479,0.090378123818992,28000.0,,,,,,,,
GS64,sphericity,-2.0,0.2022537294381138,0.0831892893000982,28000.0,,,,,,,,
GS64,sphericity,-1.0,0.2555925560126512,0.1352778805166694,28000.0,,,,,,,,
GS64,sphericity,0.0,0.391706946317042,0.0079429578897778,28000.0,,,,,,,,
GS64,sphericity,1.0,0.3905971669937333,0.0054336257291127,28000.0,,,,,,,,
GS64,sphericity,2.0,0.3908867358962015,0.0210723908873861,28000.0,,,,,,,,
GS64,sphericity,3.0,0.3968609808916657,0.0043042389245254,28000.0,,,,,,,,
GS24,sphericity,-3.0,0.2221439177814747,0.0580989373398959,28000.0,,,,,,,,
GS24,sphericity,-2.0,0.2901130388091613,0.0427023205606754,28000.0,,,,,,,,
GS24,sphericity,-1.0,0.3244566022287169,0.0325726245043278,28000.0,,,,,,,,
GS24,sphericity,0.0,0.3969054084827577,0.0042486790220442,28000.0,,,,,,,,
GS24,sphericity,1.0,0.4027270731585863,0.0140583566050875,28000.0,,,,,,,,
GS24,sphericity,2.0,0.4198055096949486,0.0030732443389526,28000.0,,,,,,,,
GS24,sphericity,3.0,0.4240123409223918,0.0021592995692684,28000.0,,,,,,,,
GS32,feature,,,,,GSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGS,64.0,-1.0,0.0,0.0,3.8999999999999955,0.0,0.0
GS48,feature,,,,,GSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGS,96.0,-1.0,0.0,0.0,3.899999999999997,0.0,0.0
GS16,feature,,,,,GSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGS,32.0,-1.0,0.0,0.0,3.8999999999999995,0.0,0.0
GS8,feature,,,,,GSGSGSGSGSGSGSGS,16.0,-1.0,0.0,0.0,3.9000000000000004,0.0,0.0
GS40,feature,,,,,GSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGS,80.0,-1.0,0.0,0.0,3.900000000000002,0.0,0.0
GS64,feature,,,,,GSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGS,128.0,-1.0,0.0,0.0,3.9000000000000004,0.0,0.0
GS24,feature,,,,,GSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGS,48.0,-1.0,0.0,0.0,3.9000000000000017,0.0,0.0
